week_end,actual_spending,predicted_spending,absolute_error
2025-11-22,160910.47,164785.23982160303,3874.769821603026
2025-11-29,165408.1,161439.9620478449,3968.1379521551135
2025-12-06,179198.34,167897.4789249786,11300.861075021385
2025-12-13,180483.58,179271.54567958653,1212.0343204134551
2025-12-20,185785.65,180420.43754333112,5365.212456668873
2025-12-27,182245.94,183628.85497194747,1382.9149719474663
2026-01-03,183778.89,177658.74793761462,6120.142062385392
2026-01-10,183784.45,181056.34779587958,2728.102204120427
2026-01-17,174663.36,179017.97569647708,4354.615696477093
2026-01-24,172774.13,168021.41825233272,4752.7117476672865
2026-01-31,177609.87,175203.18328713794,2406.6867128620506
2026-02-07,180108.22,180381.47429854094,273.2542985409382
2026-02-14,183623.7,186008.51571630174,2384.8157163017313
2026-02-21,177380.46,183588.4919270367,6208.031927036704
2026-02-28,176902.76,179704.8096977087,2802.0496977086877
2026-03-07,173521.67,184566.00273905144,11044.332739051431
2026-03-14,169166.55,174709.5940632543,5543.044063254318
2026-03-21,167154.26,170686.3188799803,3532.0588799802936
2026-03-28,167035.16999999998,164969.24631955463,2065.923680445354
2026-04-04,179827.27,168364.426186664,11462.843813335989
2026-04-11,188524.22,179778.02457878098,8746.195421219018
2026-04-18,189548.37,183758.84912096884,5789.520879031159
2026-04-25,194267.35,187016.9114221765,7250.4385778235155
2026-05-02,191257.78,188895.88199151374,2361.898008486256
2026-05-09,197627.7,189998.2676929786,7629.432307021401
2026-05-16,192430.2,190386.8294100508,2043.3705899492197
2026-05-23,181691.05,187329.6388547665,5638.588854766509
2026-05-30,173019.0,173693.88467098773,674.8846709877253
2026-06-06,178040.84,170291.13204802352,7749.707951976481
2026-06-13,176724.74,176266.0031159142,458.73688408578164
2026-06-20,176864.85,180677.19839762794,3812.3483976279385
2026-06-27,174825.33,180677.19839762794,5851.868397627957
2026-07-04,177435.19,172188.8025875364,5246.387412463606
2026-07-11,174065.14,178287.553199521,4222.41319952099
2026-07-18,167157.52,170670.51746952426,3512.997469524271
2026-07-25,164424.05000000002,161843.32149752657,2580.7285024734447
